trove_id,title,date,trove_url,fulltext_url,filename,status,source_pass,duplicate_of
233686737,A BATMAN'S VIEW,1962-09-15,https://trove.nla.gov.au/work/233686737,https://nla.gov.au/nla.obj-696413519,1962-09-15-a-batmans-view.md,written,fetch_batman,
233697941,Batman's Ballarat,1965-04-24,https://trove.nla.gov.au/work/233697941,https://nla.gov.au/nla.obj-704867206,1965-04-24-batmans-ballarat.md,written,fetch_batman,
237045552,Batman's Melbourne Footballers get worker power,1974-01-05,https://trove.nla.gov.au/work/237045552,https://nla.gov.au/nla.obj-1635257198,1974-01-05-batmans-melbourne-footballers-get-worker-power.md,written,fetch_batman,
237047184,Batman's Melbourne Anyone for geriatric tennis?,1975-01-18,https://trove.nla.gov.au/work/237047184,https://nla.gov.au/nla.obj-1635968196,1975-01-18-batmans-melbourne-anyone-for-geriatric-tennis.md,written,fetch_batman,
236663894,Batman's Melbourne Concern over a noble pub,1973-11-10,https://trove.nla.gov.au/work/236663894,https://nla.gov.au/nla.obj-1503133281,1973-11-10-batmans-melbourne-concern-over-a-noble-pub.md,written,fetch_batman,
237051951,Batman's Melbourne When Disney comes to town,1974-11-30,https://trove.nla.gov.au/work/237051951,https://nla.gov.au/nla.obj-1638253895,1974-11-30-batmans-melbourne-when-disney-comes-to-town.md,written,fetch_batman,
237261017,Batman's Melbourne Lashings of entertainment,1975-11-29,https://trove.nla.gov.au/work/237261017,https://nla.gov.au/nla.obj-1745781293,1975-11-29-batmans-melbourne-lashings-of-entertainment.md,written,fetch_batman,
237027495,Batman's Melbourne Moral lectures by footy writers,1974-09-14,https://trove.nla.gov.au/work/237027495,https://nla.gov.au/nla.obj-1627781413,1974-09-14-batmans-melbourne-moral-lectures-by-footy-writers.md,written,fetch_batman,
237047111,Batman's Melbourne A prince of bright fellows,1975-01-04,https://trove.nla.gov.au/work/237047111,https://nla.gov.au/nla.obj-1635961110,1975-01-04-batmans-melbourne-a-prince-of-bright-fellows.md,written,fetch_batman,
237242604,Batman's Melbourne Flights of fancy over Jenny ...,1976-03-20,https://trove.nla.gov.au/work/237242604,https://nla.gov.au/nla.obj-1703289717,1976-03-20-batmans-melbourne-flights-of-fancy-over-jenny.md,written,fetch_batman,
237260478,Batman's Melbourne Going through bitter times,1975-12-20,https://trove.nla.gov.au/work/237260478,https://nla.gov.au/nla.obj-1750947389,1975-12-20-batmans-melbourne-going-through-bitter-times.md,written,fetch_batman,
236664086,Batman's Melbourne Rolling down to Wodonga,1973-12-01,https://trove.nla.gov.au/work/236664086,https://nla.gov.au/nla.obj-1503152837,1973-12-01-batmans-melbourne-rolling-down-to-wodonga.md,written,fetch_batman,
237057514,BATMAN'S MELBOURNE Let’s heal the last schism,1979-02-20,https://trove.nla.gov.au/work/237057514,https://nla.gov.au/nla.obj-1638830873,1979-02-20-batmans-melbourne-let-s-heal-the-last-schism.md,written,fetch_batman,
